ZIP,5-9,10-14, 15-19
10001,1012,829,879
10002,3061,3337,2555
10003,924,865,7320
10004,147,176,119
10005,235,198,81
10006,133,90,415
10007,448,242,216
10009,1242,2235,2235
10010,1631,784,1965
10011,1153,1218,2243
10012,199,506,637
10013,1193,1340,1031
10014,456,649,534
10016,1379,1379,1105
10017,226,310,93
10018,141,120,256
10019,898,509,870
10020,0,0,0
10021,1517,2024,1928
10022,746,1028,686
10023,3036,1908,2715
10024,3096,3367,1674
10025,3991,3633,4692
10026,2079,2115,1699
10027,3182,3125,3125
10028,2327,1747,1083
10029,3922,3588,4762
10030,1593,1768,1006
10031,2910,2767,2626
10032,2103,1938,2679
10033,2604,2913,2415
10034,1841,2409,1802
10035,2132,1929,1890
10036,498,658,549
10037,994,1065,473
10038,538,1356,1455
10039,1667,1714,1768
10040,1667,1714,1768
10044,472,402,274
10065,1270,1072,674
10069,261,635,82
10075,872,616,1095
10103,0,0,0
10110,0,0,0
10111,0,0,0
10112,0,0,0
10115,0,0,0
10119,0,0,0
10128,1936,1928,2281
10152,0,0,0
10153,0,0,0
10154,0,0,0
10162,0,82,61
10165,0,0,0
10167,0,0,0
10168,0,0,0
10169,0,0,0
10170,0,0,0
10171,0,0,0
10172,0,0,0
10173,0,0,0
10177,0,0,0
10199,0,0,0
10270,0,0,0
10271,0,0,0
10278,0,0,0
10279,0,0,0
10280,286,218,256
10282,574,535,269
10301,1881,2020,2442
10302,1170,1295,1180
10303,1861,2502,2148
10304,2628,2928,2913
10305,2771,2439,2606
10306,2546,3011,4018
10307,704,1000,1324
10308,1320,1904,1884
10309,2029,2626,2028
10310,1550,1585,1751
10312,4021,4490,3653
10314,4863,5591,6127
10451,3499,3227,3379
10452,6280,7099,6229
10453,6325,6011,5621
10454,3142,3452,2323
10455,3728,3524,3564
10456,6352,7408,6949
10457,6498,7157,5060
10458,6766,6246,7831
10459,3588,3934,3987
10460,4037,4581,4262
10461,NaN,NaN,NaN
10462,4928,5306,4147
10463,4435,4238,4593
10464,400,127,87
10465,2061,2989,3558
10466,3980,5479,5243
10467,7567,7573,6254
10468,7336,5392,5943
10469,3478,5115,5243
10470,560,478,650
10471,783,1225,2067
10472,4879,4833,4569
10473,3626,4003,3978
10474,1178,863,695
10475,2242,1682,1761
11004,726,923,709
11005,0,0,0
11101,1556,1348,1145
11102,881,858,1114
11103,1104,1120,1344
11104,1216,1182,1064
11105,1561,1382,1081
11106,1540,1795,1289
11201,3384,2828,2768
11203,4055,4418,4278
11204,6533,6766,5140
11205,4237,3899,4245
11206,6649,7546,6397
11207,7007,6579,5343
11208,7943,8362,7298
11209,4002,3580,3766
11210,4456,4759,4378
11211,3450,3293,2942
11212,4450,5399,4026
11213,3854,4635,4126
11214,5365,5862,5095
11215,4287,4303,2594
11216,2618,2179,1643
11217,1610,1675,1284
11218,5628,6174,4630
11219,9883,8960,7157
11220,7334,6422,4993
11221,4655,4832,4242
11222,1504,880,727
11223,6293,5009,5175
11224,2515,2925,2752
11225,2733,3248,2834
11226,5160,5254,5353
11228,2264,2269,2343
11229,5474,5996,4660
11230,5236,5474,5996
11231,3750,2988,2165
11232,1875,1607,1271
11233,5591,4421,4516
11234,5468,5131,6702
11235,3757,4227,3530
11236,6381,6175,6106
11237,2016,2912,2490
11238,2200,2354,1287
11239,786,996,1151
11354,1923,2297,2049
11355,3509,3311,2904
11356,1499,1846,1864
11357,2165,3188,2191
11358,1839,2277,1705
11359,0,0,0
11360,557,799,937
11361,1436,1804,1089
11362,984,725,766
11363,450,354,313
11364,2140,2441,2123
11365,1964,2973,2734
11366,613,788,622
11367,2685,2269,2636
11368,7795,8560,7570
11369,1329,2025,1823
11370,1171,1273,1651
11371,0,0,0
11372,3860,3552,2547
11373,5785,6709,5933
11374,2392,2006,1587
11375,4181,3446,2391
11377,3780,4188,3365
11378,2004,2819,2820
11379,2123,2777,1677
11385,5392,7136,5878
11411,725,1425,993
11412,1912,2356,2519
11413,2456,2972,2757
11414,1669,1727,1190
11415,1149,933,622
11416,1590,1691,1866
11417,2217,2299,1883
11418,2089,2417,2270
11419,1985,2640,2689
11420,2441,2655,3195
11421,1985,2640,2689
11422,1665,2202,2206
11423,1576,1719,1677
11426,1009,1173,860
11427,1114,1370,1137
11428,965,1130,1075
11429,1196,1342,1812
11430,0,14,0
11432,3631,3917,3473
11433,2421,3194,3007
11434,4296,4277,4151
11435,3738,3212,2977
11436,1405,1301,1318
11691,6282,6359,4749
11692,1740,2367,1256
11693,992,883,935
11694,1177,1653,1035
11697,246,164,148
